ts	phase	decision	why	evidence	result
2026-09-21T19:50:43.700299+00:00	socket-verification	メンバー除外時のWebSocket終了はChromiumで検証する	Node内蔵WebSocketでは終了を受信しない一方、同じWorkerに接続したChromiumは1008を受信した	tests/events.test.mjs	不要なclose handler追加では改善せず撤回。実ブラウザーで通知秘匿・除外後のHTTP拒否と1008を確認
2026-09-22T02:22:40Z	ui-audit	削除確認をブラウザ標準confirmからアプリ内dialogへ変更し、ごみ箱一覧を追加	従来のE2Eは標準confirmを自動承認して操作不能を見落としていた。詳細を閉じても復元できる導線が必要	本番UI再現;tests/e2e/detail-behavior.spec.ts;tests/e2e/navigation-layout.spec.ts	キャンセル・削除・再読込・ごみ箱からの復元を実Workerで検証
2026-09-22T02:22:40Z	ui-audit	詳細は一覧を置き換える全幅表示としURLとブラウザ履歴へ選択状態を保存	Linear本家は左半分に一覧を残さず本文と右プロパティを表示する	Linear実画面;docs/ui-comparison.md;tests/e2e/navigation-layout.spec.ts	長い識別子の重なりとbodyの960px固定幅を修正
2026-09-22T02:22:40Z	ui-audit	コメントを送信直後に表示してdraftを空にし、失敗時は同じoperationIdで再試行	通信完了を待つ旧UIが操作を遅く見せていた。応答だけが失われても重複投稿を避ける	tests/e2e/detail-behavior.spec.ts;apps/web/src/app/useCommentMutation.ts	遅延・失敗・再送と確定件数を実APIで検証
2026-09-22T02:22:40Z	maintainability	CSSをナビ・一覧・詳細・編集・dialogなど画面の責任ごとに分割	base.cssとdetail.cssへさらに機能を集めず、読者が対象画面の定義を追えるようにする	apps/web/src/styles.css;AGENTS.md	関数・ファイルのlint制限を変更せずに実装
2026-09-22T02:44:16Z	ui-audit	作成フォームから汎用2列gridのクラスを除き、専用CSSでプロパティ配置とpopup表示を管理	目視確認でCSS順序に依存する縦長フォームとメニュー見切れを検出	tests/e2e/creation-behavior.spec.ts;reports/screenshots/issue-create.png	29件E2E成功。本番で作成から削除・復元まで9項目成功
2026-09-22T03:40:52.141606+00:00	quality-method	Cognitive Complexity・jscpd・Knipを併用し、AI生成の判定点は作らない	論文では複雑度は理解度の一部の指標であり、品質や問題の重大さを単独で判定しない	docs/code-quality.md;reports/quality/before/summary.json	147ファイル、最大15、閾値15超0関数
2026-09-22T03:40:52.141632+00:00	quality-cleanup	Knipで入口を補正してから未使用宣言を削除し、内部専用exportを非公開化	ローカルWorkerや外部CLIを未使用と誤認せず、実際に読む必要のないAPIを減らす	knip.json;reports/quality/before/unused.json	41値export・25型exportの指摘を整理。直後のKnip指摘0、lint/typecheck成功
2026-09-22T03:40:52.141636+00:00	quality-design	設定編集draftを種類別の型にし、インポート要求schemaをcontractsへ統一	無関係な入力の状態共有とCLI/Worker間の型の重複をなくす。単なるファイル分割や汎用HTTPレジストリは採用しない	docs/code-quality.md	実装中。公開APIと画面操作を実動作テストで検証予定
2026-09-22T03:55:34.907249+00:00	quality-verification	閾値を変えずに不要コード・編集状態・共有schemaを整理し、前後を同じ固定ツールで測定	最大複雑度は基準内なので分割せず、検出重複を消す汎用化も避ける	reports/quality;docs/code-quality.md;e53e0a9	18実動作テスト・30E2E成功。未使用指摘66から0、180行削減、重複32件は不変
2026-09-22T05:22:07.911873+00:00	test-hardening	公開API・実CLI・ブラウザの保存結果を検証し、API各テストの保存領域を分離	性能改善で内部実装を変更しても利用者の結果を比較できるようにする	tests;docs/test-coverage.md;ddf9c69	31 API/CLI・31 E2E成功。行・分岐網羅率は未計測
2026-09-22T05:22:07.911873+00:00	comment-read-fix	CLIの更新前に必要なコメント単体GETを追加し権限とissue所属を検証	実CLIテストで更新・削除がmissing_idempotency_keyになる不具合を再現	743fbb9;reports/test-hardening-verification.json	ローカルの操作・権限テスト成功。本番GETと一覧の一致を確認
2026-09-22T06:26:13.307080+00:00	cli-perf-references	workspace UUIDの確認読取を省き、名前の参照情報を1コマンド内で共有	往復回数を減らしつつ、名前変更や担当者のID変換を維持する	e7dc1b0;tests/cli-references.test.mjs	実CLIの参照・権限・担当者保存を検証
2026-09-22T06:26:13.307098+00:00	cli-perf-startup	CLI依存をbundleし、圧縮・compile cache・独自HTTP transportは採用しない	起動時のファイル読取を減らす。追加の複雑さに見合う効果がない実験案は外す	6a901f6;artifacts/private/cli-performance/bundle-experiment.json;artifacts/private/cli-performance/transport-experiment.json	起動のみの探索計測66.2msから52.3ms。最終比較は別途実施
2026-09-22T06:26:13.307101+00:00	cli-perf-batch	ユーザー承認を受け、常駐せず逐次実行するbatchを追加	起動とHTTP接続を再利用する。単発の改善率とは分けて比較する	9a02527;tests/cli-batch.test.mjs;artifacts/private/cli-performance/workflow-production.json	本番62操作23.856秒から10.077秒、2.37倍で目標未達
2026-09-22T06:26:13.307103+00:00	cli-perf-measurement	前後でworkspaceと更新対象を分離し、同じ件数・初期versionを揃える	レビューで共有fixtureのデータ増加とversion差を指摘されたため	scripts/benchmark-cli-fixture.mjs;scripts/benchmark-cli-workflow.mjs	初期の共有fixture試行は最終比較から除外
2026-09-22T06:26:13.307104+00:00	cli-perf-parallel	更新前のチケット取得と参照解決を並行する	独立した読取の順番待ちを減らし、保存前の検証と競合検出は維持する	artifacts/private/cli-performance/workflow-production-parallel.json;tests/cli-update-concurrency.test.mjs	本番62操作24.143秒から8.745秒、2.76倍で目標未達
2026-09-22T06:37:59.985197+00:00	cli-perf-state-id	state UUIDの所属検証をWorkerに委ね、create/updateで参照取得を省く	同じIDを引き直す通信は不要。名前解決とWorkerの認可・所属検証は維持する	7a84756;tests/cli-update-concurrency.test.mjs;reports/cli-performance/state-id-experiment.json	単独のレイテンシ効果は未確定。無効IDで保存しない実CLIテスト成功
2026-09-22T06:37:59.985214+00:00	cli-perf-final-metrics	途中の最良値でなく最終成果物の比較結果を採用し、3倍未達を明示	時間帯が異なる測定を混ぜず、batchと単発を別の指標にする	reports/cli-performance/production-batch-final.json;reports/cli-performance/production-read.json	本番62操作24.349秒から9.868秒、2.47倍。単発UUID読取は1.27〜1.30倍
2026-09-22T06:37:59.985217+00:00	cli-perf-cleanup	比較試験のworkspace 8件を本番APIで再取得してアーカイブ状態を確認	初期レポートは後始末より前に書かれており、終了処理の証拠を補う	reports/cli-performance/cleanup.json	8件ともarchivedAtを確認。今後の計測スクリプトは後始末成功後にレポート保存
2026-09-22T06:37:59.985219+00:00	cli-perf-check	計測スクリプトの行数・関数長違反を検出し、責任ごとに分割する	計測コードにも既存のlint制限を適用する	/tmp/linc-performance-check.log	初回pnpm checkはlintで停止。検査成功の宣言は保留
2026-09-22T06:41:14.188660+00:00	cli-perf-verification	既存の閾値を維持して計測コードを整理し全検査を完了	振る舞いを保つ改善だけを残し、性能目標の達否と別に検証する	7a84756;reports/cli-performance/verification.json	41実Worker/API/CLI・31E2E成功。品質検査成功。3倍目標は未達
2026-09-22T06:42:16.805471+00:00	cli-perf-audit	gpt-5.6-terraが判断記録・実測JSON・同タスクの履歴を照合	自己申告だけで検証完了にせず、cleanupと計測条件を独立確認する	reports/cli-performance/verification.json;reports/cli-performance/cleanup.json	計測条件・来歴・8workspaceの後始末が一致。初回検査失敗は最終41/41成功で解消。3倍未達を維持
2026-09-22T08:41:22.332823+00:00	cli-startup	Zodをnamespace importに変更し英語のみをbundleへ残す	入力検証を維持して未使用exportを除去する	reports/cli-performance/startup/README.md	22 import変更; bundle1025897→461549bytes; root help54.053→43.809ms
2026-09-22T08:41:22.332823+00:00	cli-startup	単一bundle内のLinear import遅延初期化を不採用	20回の比較で改善せず配布物も増加	reports/cli-performance/startup/rejected-lazy-import.json	root44.083→44.099ms; 完全Zod遅延にはより大きな分割が必要
2026-09-22T08:41:22.332823+00:00	cli-startup	軽量化を実Workerで検証	help以外の通常コマンドへの効果を分離して確認	reports/cli-performance/startup/local-commands.json;/tmp/linc-startup-check.log	一覧88.172→78.420ms; 作成90.334→81.619ms; 更新105.795→96.536ms; pnpm check43件成功
2026-09-22T08:41:22.332823+00:00	cli-performance-priority	日常操作のend-to-end latencyを最優先にする	ユーザー指定:未完了一覧・issue登録・状態変更・コメント追加	apps/cli/src/resolve.ts;apps/worker/src/issues/queries.ts;apps/worker/src/changes/queries.ts	現状は完了も含め全page取得; 識別子を検索で解決; 差分APIはIDのみ。未完了filterと往復削減を先に検討し、cache/差分は効果を計測して選ぶ
2026-09-22T09:36:19Z	daily-design	通常のresource APIに名前解決を加え、未完了をCLI一覧の既定にする	CLI専用の別APIを増やさず、Webとimportの既存一覧は維持する	artifacts/private/daily-performance/design-sol.md;artifacts/private/daily-performance/crossjudge-short.md;5d6090f	二案を比較して採用。実API/CLIテスト成功
2026-09-22T09:36:19Z	daily-baseline	旧Workerと旧CLIで本番の日常操作とcache条件の比較基準を保存	旧CLIを新Workerで動かすだけではシステム全体の改善前を再現できない	artifacts/private/daily-performance/production-before-slug-clean.json;artifacts/private/daily-performance/production-cache-before.json	slug指定の中央値237〜253ms。テスト負荷と重なったslug計測は取り直した
2026-09-22T09:36:19Z	daily-cache	認証付き304で検証した1ページの一覧だけをローカル保存から表示する	差分同期や複数ページのsnapshot管理を増やさず普段の小さな一覧を優先する	apps/cli/src/issue-list-cache.ts;apps/worker/src/http/issue-list.ts;tests/issue-list-cache.test.mjs;/tmp/linc-daily-cache-test.log	4実Worker/CLIテスト成功。別アカウント・権限変更・リモート更新・削除復元・201件の一覧を確認
2026-09-22T09:36:19Z	daily-review	UUIDとslugの衝突で別workspaceに書き込まないように修正	既存のUUID指定を維持し、名前指定の追加が対象の取り違えを起こさないようにする	5d6090f;tests/cli-references.test.mjs	Terraのレビュー指摘を修正し実CLIで再現確認
2026-09-22T09:45:59Z	daily-replay-review	再送結果そのものの権限と保存時workspaceを確認する	名前を再利用した後に現在の参照先だけを認可すると、以前の非公開チケットのreceiptを返し得る	apps/worker/src/issues/mutations.ts;apps/worker/src/issues/comments.ts;apps/worker/src/mutations.ts;tests/workspace-reference-replay.test.mjs	Terraの指摘を採用。workspace別名再利用は修正前201、修正後409で再現確認。一般化した再送機構は追加しない
